,0,1,2,3,4,5,cluster_labels
0,36 Chowringhee Lane_img_0.jpg,3,157.70682222222223,71.16106666666667,35.50048888888889,0.3612850694444445,1
1,36 Ghante_img_0.jpg,2,131.85360641891893,117.04245777027027,112.93898648648648,0.4707311021959457,0
2,5 Rifles_img_1.jpg,3,149.88687050359712,131.51240107913668,121.72335431654676,0.5288854190085426,0
3,Aadmi Sadak Ka_img_0.jpg,1,191.27200925925925,157.47511111111112,127.53875,0.6393345269097228,2
4,Aafat_img_0.jpg,3,141.3481111111111,111.35431746031746,102.15376190476191,0.46396044146825427,0
5,Aag Aur Daag_img_0.jpg,0,118.69687301587301,107.14684126984127,94.7917619047619,0.424576264880952,3
6,Aahat (film)_img_0.jpg,1,171.24836647727273,116.77057291666667,86.92447916666667,0.5045188210227272,0
7,Aaj Ka Ye Ghar_img_0.jpg,2,166.67603211009174,125.18006498470947,109.2368119266055,0.5284070682817273,0
8,Aaj Ki Taaza Khabar_img_0.jpg,1,151.86196827057182,116.4096059972106,105.25087168758716,0.48947701128290616,0
9,Aaja Sanam_img_0.jpg,1,149.64891774891774,121.86421356421357,145.63679653679654,0.5171435335497834,0
10,Aakhri Daao_img_0.jpg,1,212.525936,166.469728,147.052528,0.693493,2
11,Aakhri Goli_img_0.jpg,2,137.5826875,66.87941477272727,69.13389772727272,0.34288887162642084,1
12,Aakhri Kasam_img_0.jpg,2,196.65271573604062,138.21781725888326,105.23875634517766,0.5915086651332497,2
13,Aakhri Sajda_img_0.jpg,2,140.5519089958159,136.92736663179917,126.05777109483961,0.5323915361859308,0
14,Aakraman_img_1.jpg,2,192.41361111111112,154.5220486111111,113.8651388888889,0.6277491590711808,2
15,Aakrosh (1980 film)_img_0.jpg,1,99.03221180880975,60.325576382380504,50.30389878163074,0.2745302615393621,1
16,Aan Milo Sajna_img_1.jpg,4,138.69203636363636,121.5348,115.19262727272728,0.49001619318181794,0
17,Aansoo Aur Muskan_img_1.jpg,4,179.96619047619046,146.35759523809523,138.79677777777778,0.6056504526289683,2
18,Aap Aye Bahaar Ayee_img_0.jpg,2,150.5521423294755,139.92323319379463,98.98317327423459,0.5387674391313716,0
19,Aap Ke Deewane_img_0.jpg,3,150.41171450594626,119.07502569373072,110.30763654382616,0.495874808444061,0
20,Aasha (1980 film)_img_0.jpg,2,95.69740899663093,77.22053707625956,66.47609275375042,0.3166180602043389,1
21,Aashiq Hoon Baharon Ka_img_0.jpg,2,138.1298859649123,141.00278070175438,133.46724561403508,0.5421294544956138,0
22,Aathi Parasakthi_img_0.jpg,3,109.9105229075603,129.99239112837947,129.6703739679456,0.48226156508013673,3
23,Abdullah (1980 film)_img_0.jpg,4,168.20966274509803,120.0099137254902,90.20613333333333,0.509814338235294,0
24,Abhimaan (1973 film)_img_0.jpg,3,177.71264817150063,115.71704918032786,107.74273644388398,0.5189190573770485,0
25,Abhimanyu_img_3.jpg,4,154.09134600748882,86.3903733751408,50.58832080124205,0.3986432978600945,1
26,Abhinetri_img_0.jpg,1,107.36209645277003,116.85028563836855,135.7099043443603,0.4518436233725249,3
27,Achanak (1973 film)_img_1.jpg,3,147.84902222222223,110.82222222222222,93.02026666666667,0.4662984374999997,0
28,Adalat (1976 film)_img_0.jpg,1,153.10453280318092,131.64486225504118,125.34610053961943,0.5345297855722798,0
29,Adhikar (1971 film)_img_0.jpg,2,164.62303174603176,117.2105238095238,105.88060317460318,0.506300471230158,0
30,Agent 009_img_1.jpg,3,94.47820069204153,72.40613610149943,66.96442906574394,0.30428038494809634,1
31,Agent Vinod (1977 film)_img_0.jpg,2,155.00474137931033,123.66660344827586,117.5364224137931,0.5149917834051732,0
32,Agni Rekha_img_1.jpg,3,202.90450980392157,142.93823529411765,109.08029411764706,0.6113461243872551,2
33,Ahsaas_img_0.jpg,1,150.7375234944741,124.36192767461093,111.5993684685362,0.5089960928689563,0
34,Ajnabee (1974 film)_img_0.jpg,4,99.95924151427222,99.09858964842432,103.33192185707537,0.38807489276857426,3
35,Akele Hum Akele Tum_img_0.jpg,3,178.65095833333334,142.04120833333334,120.01264166666667,0.5857833658854168,2
36,Alaap_img_0.jpg,3,186.32742508001164,155.50612743671806,148.7425080011638,0.6384552525821939,2
37,Albela (1971 film)_img_0.jpg,5,122.14138666666666,93.27090666666666,91.01701333333334,0.395204270833333,3
